,initial-vals,decisions,info-levels,received-count,failed-count,key,is-correct-answer,reason
0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",68,32,"[9, 9, 9, 9, 9, 9, 9, 9, None, 9]",True,-
1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",67,33,"[3, 3, 3, 3, None, None, None, None, None, 3]",True,-
2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",64,36,"[6, 6, 6, 6, 6, 6, 6, 6, None, 6]",True,-
3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",70,30,"[6, 6, 6, 6, 6, 6, None, None, None, 6]",True,-
4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",67,33,"[2, 2, 2, 2, 2, None, None, None, None, 2]",True,-
5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",69,31,"[3, 3, 3, 3, 3, 3, 3, 3, None, 3]",True,-
6,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",75,25,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",True,-
7,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",69,31,"[2, 2, 2, 2, 2, 2, 2, 2, None, 2]",True,-
8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",75,25,"[1, 1, 1, 1, 1, None, None, None, None, 1]",False,Agreement
9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",75,25,"[8, 8, 8, 8, 8, 8, None, None, None, 8]",True,-
