,initial-vals,decisions,info-levels,received-count,failed-count,key,is-correct-answer,reason
0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",217,683,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",True,-
1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 2, 3, 3, 3, 2, 2, 2, 3, 2]",245,655,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",True,-
2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",196,704,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",True,-
3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 3, 3, 2, 3, 3, 3, 3, 2]",251,649,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",True,-
4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",226,674,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",True,-
5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",211,689,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",True,-
6,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 2, 3, 2, 3, 2, 2, 3, 2, 2]",224,676,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",True,-
7,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 3, 2, 2, 2, 2, 2, 2, 2]",197,703,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",True,-
8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 3, 2, 3]",246,654,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",True,-
9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 3, 3, 2, 3, 3, 3, 2, 2]",236,664,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",True,-
