,initial-vals,decisions,info-levels,received-count,failed-count,key,is-correct-answer,reason
0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",104,0,"[None, 3, 3, 3, 3, 3, 3, 3, 3, 3]",False,Validation
1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",104,0,"[None, 3, 3, 3, 3, 3, 3, 3, 3, 3]",False,Validation
2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",104,0,"[None, 2, 2, 2, 2, 2, 2, 2, 2, 2]",False,Validation
3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",104,0,"[None, 3, 3, 3, 3, 3, 3, 3, 3, 3]",False,Validation
4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",104,0,"[None, 3, 3, 3, 3, 3, 3, 3, 3, 3]",False,Validation
5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",104,0,"[None, 3, 3, 3, 3, 3, 3, 3, 3, 3]",False,Validation
6,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",104,0,"[None, 2, 2, 2, 2, 2, 2, 2, 2, 2]",False,Validation
7,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",104,0,"[None, 2, 2, 2, 2, 2, 2, 2, 2, 2]",False,Validation
8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",104,0,"[None, 4, 4, 4, 4, 4, 4, 4, 4, 4]",False,Validation
9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",104,0,"[None, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,Agreement-Validation
