,initial-vals,decisions,info-levels,received-count,failed-count,key,is-correct-answer,reason
0,"[0, 0, 0]","[0, 0, 0]","[2, 1, 2]",16,14,"[5, 5, 5]",True,-
1,"[0, 1, 1]","[0, 0, 0]","[2, 2, 2]",17,13,"[1, 1, 1]",True,-
2,"[1, 1, 1]","[1, 0, 0]","[2, 1, 1]",11,19,"[2, 2, 2]",False,Agreement
3,"[1, 0, 0]","[0, 0, 0]","[2, 2, 2]",13,17,"[2, 2, 2]",True,-
4,"[0, 1, 0]","[0, 0, 0]","[2, 2, 2]",15,15,"[1, 1, 1]",True,-
5,"[0, 0, 1]","[0, 0, 0]","[2, 2, 1]",13,17,"[4, 4, 4]",True,-
6,"[1, 1, 1]","[0, 0, 0]","[0, 1, 1]",9,21,"[2, 2, 2]",True,-
7,"[0, 1, 0]","[0, 0, 0]","[1, 2, 1]",12,18,"[3, 3, 3]",True,-
8,"[1, 0, 0]","[0, 0, 0]","[1, 1, 1]",13,17,"[4, 4, 4]",True,-
9,"[1, 0, 0]","[0, 0, 0]","[2, 1, 2]",13,17,"[4, 4, 4]",True,-
10,"[0, 0, 0]","[0, 0, 0]","[1, 1, 1]",9,21,"[3, 3, 3]",True,-
11,"[1, 0, 1]","[0, 0, 0]","[3, 2, 2]",17,13,"[2, 2, 2]",True,-
12,"[1, 0, 0]","[0, 0, 0]","[1, 2, 1]",15,15,"[1, 1, 1]",True,-
13,"[1, 0, 1]","[0, 0, 0]","[2, 2, 2]",15,15,"[2, 2, 2]",True,-
14,"[0, 0, 0]","[0, 0, 0]","[2, 2, 2]",15,15,"[5, 5, 5]",True,-
15,"[1, 1, 0]","[0, 0, 0]","[2, 3, 2]",15,15,"[5, 5, 5]",True,-
16,"[1, 0, 0]","[0, 0, 0]","[3, 2, 3]",16,14,"[2, 2, 2]",True,-
17,"[0, 1, 1]","[0, 0, 0]","[2, 2, 2]",13,17,"[3, 3, 3]",True,-
18,"[0, 1, 0]","[0, 0, 0]","[1, 2, 2]",15,15,"[4, 4, 4]",True,-
19,"[0, 1, 0]","[0, 0, 0]","[1, 2, 1]",15,15,"[1, 1, 1]",True,-
20,"[1, 1, 1]","[0, 0, 0]","[2, 3, 2]",16,14,"[5, 5, 5]",True,-
21,"[1, 0, 0]","[0, 0, 0]","[2, 3, 2]",18,12,"[3, 3, 3]",True,-
22,"[1, 1, 0]","[0, 0, 0]","[2, 2, 1]",17,13,"[2, 2, 2]",True,-
23,"[1, 1, 0]","[0, 0, 0]","[3, 3, 3]",19,11,"[2, 2, 2]",True,-
24,"[0, 1, 0]","[0, 0, 0]","[1, 1, 2]",11,19,"[2, 2, 2]",True,-
25,"[1, 1, 0]","[0, 0, 0]","[2, 2, 2]",16,14,"[5, 5, 5]",True,-
26,"[1, 1, 1]","[0, 0, 0]","[1, 2, 2]",15,15,"[4, 4, 4]",True,-
27,"[1, 0, 0]","[0, 0, 0]","[2, 2, 2]",17,13,"[2, 2, 2]",True,-
28,"[0, 1, 1]","[0, 0, 0]","[2, 2, 1]",15,15,"[1, 1, 1]",True,-
29,"[0, 0, 0]","[0, 0, 0]","[2, 3, 3]",20,10,"[1, 1, 1]",True,-
30,"[0, 0, 0]","[0, 0, 0]","[1, 2, 2]",12,18,"[2, 2, 2]",True,-
31,"[1, 0, 1]","[0, 0, 0]","[2, 2, 2]",16,14,"[5, 5, 5]",True,-
32,"[1, 0, 1]","[0, 0, 0]","[2, 2, 2]",17,13,"[2, 2, 2]",True,-
33,"[0, 1, 1]","[0, 0, 0]","[1, 1, 2]",14,16,"[2, 2, 2]",True,-
34,"[1, 1, 1]","[1, 0, 1]","[2, 1, 2]",12,18,"[2, 2, 2]",False,Agreement
35,"[0, 0, 1]","[0, 0, 0]","[2, 2, 3]",14,16,"[3, 3, 3]",True,-
36,"[1, 0, 1]","[0, 0, 0]","[2, 2, 2]",14,16,"[3, 3, 3]",True,-
37,"[0, 0, 1]","[0, 0, 0]","[3, 2, 2]",17,13,"[1, 1, 1]",True,-
